,carat,cut,color,clarity,depth,table,x,y,z,cut_,clarity_,color_,price_predicted
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,4,2,2,17321.004555298463
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5,6,5,7254.616393930494
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,5,4,7,1125.008834448824
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,5,3,5,2560.3130038713048
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,2,4,6,5647.894231061866
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,3,4,2,5350.401961152938
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5,4,2,5249.870048500155
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3,4,6,2944.160250104228
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4,3,5,4905.233833317854
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,5,4,3,10985.53922240789
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,5,6,4,1226.1736762944581
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,3,4,1,716.1286975006961
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,3,2,6,455.4886533691558
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,5,4,4,670.7263656962352
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,4,4,6,3026.341898189428
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,5,6,4,814.8277033022629
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4,2,3,4635.018124435797
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,5,4,6,1703.1869766032546
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,2,1,4,3205.783613698002
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,4,4,6,1729.2811729584776
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,3,6,5,418.3002450899296
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1,3,5,1164.877709895718
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,3,5,7,7737.274780530746
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,4,5,4,610.737001464399
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,5,5,1,1029.6289313533882
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,5,5,1,8908.202713759329
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4,2,5,4268.826720315571
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,3,6,4,689.7858343894113
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,5,8,4,1343.785249061743
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5,4,6,6397.382191762308
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4,3,1,4153.581846429371
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,3,2,1,2708.0538932556974
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,4,4,6,3108.2524173706915
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,3,6,3,561.7958550456422
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5,2,4,4560.755003646183
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,5,5,5,3632.5679279896453
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,5,4,7,1233.2467424818572
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,5,3,2,1218.657167495163
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,5,4,6,1703.1869766032546
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4,2,5,4114.10481205399
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4,4,3,4888.572716012126
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4,4,3,5074.275102102033
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,2,5,6,3411.4362802913247
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,4,2,3,3571.326304315762
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,2,3,7,624.8982121570417
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,5,5,5,9311.305610071237
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,5,5,7,774.915268730014
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,4,3,4,5237.699080035405
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,3,6,6,7132.778985269432
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,3,8,5,480.23775780528473
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,3,5,7,927.3764568235781
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,5,6,5,2267.7319013297947
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,5,3,4,3863.1620264475423
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,5,7,4,3811.6046905207113
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3,3,6,3534.09992855926
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5,3,3,4683.360032597075
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3,4,6,3023.8464530356136
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,5,3,5,1022.9361998611671
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,5,4,6,750.4429273842812
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,1,2,7,10775.462216971036
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5,3,4,5929.605099660482
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,5,3,7,1605.8834086808693
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,3,5,4,594.1521690114023
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,4,5,4,13122.855631068924
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,1,2,3,11533.882214739173
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,4,5,3,674.8101515369526
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,3,1,4,1352.7326478273712
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,4,3,2,5880.4929587237
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,4,4,7,640.6988586130951
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,3,5,3,1960.2581654015366
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,5,3,6,3627.4243776413787
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,3,6,4,1062.74585453943
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,5,8,3,767.9071777783056
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5,2,2,4945.014209172247
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,3,2,5,8533.961730374374
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,5,5,4,2020.5891865081908
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,5,7,4,779.9705444762675
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,5,6,3,2036.4746315764078
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4,2,6,3932.7063958119784
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,3,3,6,1465.3483648080498
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,3,3,3,4299.810140609188
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,2,5,2,5078.797110954135
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,5,3,3,6228.046470851005
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,1,4,3,16086.5940857442
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,5,4,4,11896.682460956225
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,3,2,2,11558.493677639992
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,2,6,5,582.7463693097773
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,1,5,4,2636.598111430559
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,5,7,4,3614.710267213511
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,1,1,3,10732.695915495995
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,5,4,1,1320.9990150560332
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,5,5,7,2203.2110633784246
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,3,3,2,5218.709765601365
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,3,4,5,1599.477390698859
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,4,2,5,9439.921282177143
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,4,1,2,1147.6031616251603
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,3,3,3,9684.705430221078
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,3,4,7,6242.184612576461
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,4,4,5,12082.667188068697
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3,5,6,3276.9995505620745
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,4,3,5,957.9310481249835
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,4,3,3,15850.928879425344
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,4,5,4,649.6289135817175
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,5,6,6,1566.9886179484542
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,5,6,7,3919.7194120963736
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4,3,1,4427.340344174585
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5,5,4,6598.872977972891
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,5,1,5,1511.0681891877025
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,4,3,5,1484.3677951328302
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4,2,3,4122.4750433863555
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4,2,6,3629.8776538261573
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,4,4,5,2955.189383912273
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2,2,5,1311.3106679707007
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3,4,4,2702.635294248639
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4,3,4,3702.8206873649533
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5,3,4,5256.9892872046175
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4,2,3,2638.5831420445484
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,4,4,4,6334.588907667341
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,5,3,6,2692.9235489378793
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,4,5,4,6344.113431440523
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4,1,6,2656.091984784032
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,4,1,5,3464.0374746166217
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,4,2,3,14424.496278357492
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,5,7,5,933.3408670891492
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,1,4,2,3137.931134277952
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,5,5,6,3534.3164680860446
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,5,4,4,15510.98674764356
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,5,3,3,2925.4235424731264
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,2,7,2,3111.9115824245446
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,5,4,4,963.476836797743
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,5,4,4,709.5044483258922
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,4,4,5,780.2330605688317
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,3,4,2,6865.393794271779
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,4,3,4,12522.611608297066
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,4,3,5,4997.994333607205
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,2,3,7,1216.0981164997486
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,4,3,6,2707.3730185844574
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5,5,4,6133.548008051905
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2,2,1,2068.0345212669035
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,5,7,5,829.697020018422
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,5,7,4,733.2753539826383
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3,3,4,2292.0335520103104
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,4,8,3,6947.150625986995
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,3,2,3,7315.969008969027
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,3,5,7,5489.211138033316
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,2,6,5,402.3799334803861
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,2,6,6,495.1600052723629
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,5,6,5,968.320159577413
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3,2,7,2384.118865741394
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,3,8,4,1279.6732940077547
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,5,4,6,627.1707612621512
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,4,6,1,4463.643073761804
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,5,2,7,1274.4303356362282
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,4,1,5,8036.939350086128
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,2,3,6,1358.9753415416683
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,5,5,6,3441.1780552486766
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,2,4,3,1335.612521111285
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4,2,5,4114.10481205399
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,5,4,5,634.2580016206368
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,2,3,4,4396.894861732136
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,2,3,6,7238.882469537453
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,3,3,2,3772.429255465117
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5,4,4,5928.636613301457
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,2,3,4,3538.835343261265
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,5,4,6,2031.1190432079238
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3,3,5,3135.063485259454
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,5,3,7,570.1117395787485
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,5,4,3,2978.9190329653316
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,4,3,3,6096.458574882695
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,3,5,1,8483.192622009077
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,5,6,3,8686.412229500758
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,5,3,5,2560.3130038713048
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,5,4,2,1350.7215056449686
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,5,5,6,1561.014916472627
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,5,8,4,1407.7326128673838
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,3,4,5,842.7628141221869
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,5,2,5,1479.1383367457581
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,4,3,5,2642.7324947521547
