,carat,cut,color,clarity,depth,table,price,x,y,z,clarity_,color_
46,0.29,Very Good,H,SI2,60.7,60.0,404.0,4.33,4.37,2.64,1,2
47,0.24,Very Good,F,SI1,60.9,61.0,404.0,4.02,4.03,2.45,2,4
48,0.23,Ideal,G,VS1,61.9,54.0,404.0,3.93,3.95,2.44,4,3
49,0.32,Ideal,I,SI1,60.9,55.0,404.0,4.45,4.48,2.72,2,1
50,0.22,Premium,E,VS2,61.6,58.0,404.0,3.93,3.89,2.41,3,5
51,0.22,Premium,D,VS2,59.3,62.0,404.0,3.91,3.88,2.31,3,6
52,0.3,Ideal,I,SI2,61.0,59.0,405.0,4.3,4.33,2.63,1,1
53,0.3,Premium,J,SI2,59.3,61.0,405.0,4.43,4.38,2.61,1,0
54,0.3,Very Good,I,SI1,62.6,57.0,405.0,4.25,4.28,2.67,2,1
55,0.3,Very Good,I,SI1,63.0,57.0,405.0,4.28,4.32,2.71,2,1
56,0.3,Premium,D,SI1,62.6,59.0,552.0,4.23,4.27,2.66,2,6
57,0.3,Ideal,D,SI1,62.5,57.0,552.0,4.29,4.32,2.69,2,6
58,0.3,Ideal,D,SI1,62.1,56.0,552.0,4.3,4.33,2.68,2,6
59,0.42,Premium,I,SI2,61.5,59.0,552.0,4.78,4.84,2.96,1,1
60,0.28,Ideal,G,VVS2,61.4,56.0,553.0,4.19,4.22,2.58,5,3
61,0.31,Very Good,G,SI1,63.3,57.0,553.0,4.33,4.3,2.73,2,3
62,0.31,Premium,G,SI1,61.8,58.0,553.0,4.35,4.32,2.68,2,3
63,0.24,Premium,E,VVS1,60.7,58.0,553.0,4.01,4.03,2.44,6,5
64,0.24,Very Good,D,VVS1,61.5,60.0,553.0,3.97,4.0,2.45,6,6
65,0.3,Very Good,H,SI1,63.1,56.0,554.0,4.29,4.27,2.7,2,2
66,0.3,Premium,H,SI1,62.9,59.0,554.0,4.28,4.24,2.68,2,2
67,0.3,Premium,H,SI1,62.5,57.0,554.0,4.29,4.25,2.67,2,2
68,0.3,Good,H,SI1,63.7,57.0,554.0,4.28,4.26,2.72,2,2
69,0.26,Very Good,F,VVS2,59.2,60.0,554.0,4.19,4.22,2.49,5,4
70,0.26,Very Good,E,VVS2,59.9,58.0,554.0,4.15,4.23,2.51,5,5
71,0.26,Very Good,D,VVS2,62.4,54.0,554.0,4.08,4.13,2.56,5,6
72,0.26,Very Good,D,VVS2,62.8,60.0,554.0,4.01,4.05,2.53,5,6
73,0.26,Very Good,E,VVS1,62.6,59.0,554.0,4.06,4.09,2.55,6,5
74,0.26,Very Good,E,VVS1,63.4,59.0,554.0,4.0,4.04,2.55,6,5
75,0.26,Very Good,D,VVS1,62.1,60.0,554.0,4.03,4.12,2.53,6,6
76,0.26,Ideal,E,VVS2,62.9,58.0,554.0,4.02,4.06,2.54,5,5
77,0.38,Ideal,I,SI2,61.6,56.0,554.0,4.65,4.67,2.87,1,1
78,0.26,Good,E,VVS1,57.9,60.0,554.0,4.22,4.25,2.45,6,5
79,0.24,Premium,G,VVS1,62.3,59.0,554.0,3.95,3.92,2.45,6,3
80,0.24,Premium,H,VVS1,61.2,58.0,554.0,4.01,3.96,2.44,6,2
81,0.24,Premium,H,VVS1,60.8,59.0,554.0,4.02,4.0,2.44,6,2
82,0.24,Premium,H,VVS2,60.7,58.0,554.0,4.07,4.04,2.46,5,2
83,0.32,Premium,I,SI1,62.9,58.0,554.0,4.35,4.33,2.73,2,1
84,0.86,Fair,E,SI2,55.1,69.0,2757.0,6.45,6.33,3.52,1,5
85,0.7,Ideal,G,VS2,61.6,56.0,2757.0,5.7,5.67,3.5,3,3
86,0.71,Very Good,E,VS2,62.4,57.0,2759.0,5.68,5.73,3.56,3,5
87,0.78,Very Good,G,SI2,63.8,56.0,2759.0,5.81,5.85,3.72,1,3
88,0.7,Good,E,VS2,57.5,58.0,2759.0,5.85,5.9,3.38,3,5
89,0.7,Good,F,VS1,59.4,62.0,2759.0,5.71,5.76,3.4,4,4
90,0.96,Fair,F,SI2,66.3,62.0,2759.0,6.27,5.95,4.07,1,4
91,0.73,Very Good,E,SI1,61.6,59.0,2760.0,5.77,5.78,3.56,2,5
92,0.8,Premium,H,SI1,61.5,58.0,2760.0,5.97,5.93,3.66,2,2
93,0.75,Very Good,D,SI1,63.2,56.0,2760.0,5.8,5.75,3.65,2,6
94,0.75,Premium,E,SI1,59.9,54.0,2760.0,6.0,5.96,3.58,2,5
95,0.74,Ideal,G,SI1,61.6,55.0,2760.0,5.8,5.85,3.59,2,3
96,0.75,Premium,G,VS2,61.7,58.0,2760.0,5.85,5.79,3.59,3,3
97,0.8,Ideal,I,VS1,62.9,56.0,2760.0,5.94,5.87,3.72,4,1
98,0.75,Ideal,G,SI1,62.2,55.0,2760.0,5.87,5.8,3.63,2,3
99,0.8,Premium,G,SI1,63.0,59.0,2760.0,5.9,5.81,3.69,2,3
100,0.74,Ideal,I,VVS2,62.3,55.0,2761.0,5.77,5.81,3.61,5,1
101,0.81,Ideal,F,SI2,58.8,57.0,2761.0,6.14,6.11,3.6,1,4
102,0.59,Ideal,E,VVS2,62.0,55.0,2761.0,5.38,5.43,3.35,5,5
103,0.8,Ideal,F,SI2,61.4,57.0,2761.0,5.96,6.0,3.67,1,4
104,0.74,Ideal,E,SI2,62.2,56.0,2761.0,5.8,5.84,3.62,1,5
105,0.9,Premium,I,VS2,63.0,58.0,2761.0,6.16,6.12,3.87,3,1
106,0.74,Very Good,G,SI1,62.2,59.0,2762.0,5.73,5.82,3.59,2,3
107,0.73,Ideal,F,VS2,62.6,56.0,2762.0,5.77,5.74,3.6,3,4
108,0.73,Ideal,F,VS2,62.7,53.0,2762.0,5.8,5.75,3.62,3,4
109,0.8,Premium,F,SI2,61.7,58.0,2762.0,5.98,5.94,3.68,1,4
110,0.71,Ideal,G,VS2,62.4,54.0,2762.0,5.72,5.76,3.58,3,3
111,0.7,Ideal,E,VS2,60.7,58.0,2762.0,5.73,5.76,3.49,3,5
112,0.8,Ideal,F,SI2,59.9,59.0,2762.0,6.01,6.07,3.62,1,4
113,0.71,Ideal,D,SI2,62.3,56.0,2762.0,5.73,5.69,3.56,1,6
114,0.74,Ideal,E,SI1,62.3,54.0,2762.0,5.8,5.83,3.62,2,5
115,0.7,Very Good,F,VS2,61.7,63.0,2762.0,5.64,5.61,3.47,3,4
116,0.7,Fair,F,VS2,64.5,57.0,2762.0,5.57,5.53,3.58,3,4
117,0.7,Fair,F,VS2,65.3,55.0,2762.0,5.63,5.58,3.66,3,4
118,0.7,Premium,F,VS2,61.6,60.0,2762.0,5.65,5.59,3.46,3,4
119,0.91,Premium,H,SI1,61.4,56.0,2763.0,6.09,5.97,3.7,2,2
120,0.61,Very Good,D,VVS2,59.6,57.0,2763.0,5.56,5.58,3.32,5,6
121,0.91,Fair,H,SI2,64.4,57.0,2763.0,6.11,6.09,3.93,1,2
122,0.91,Fair,H,SI2,65.7,60.0,2763.0,6.03,5.99,3.95,1,2
123,0.77,Ideal,H,VS2,62.0,56.0,2763.0,5.89,5.86,3.64,3,2
124,0.71,Very Good,D,SI1,63.6,58.0,2764.0,5.64,5.68,3.6,2,6
125,0.71,Ideal,D,SI1,61.9,59.0,2764.0,5.69,5.72,3.53,2,6
126,0.7,Very Good,E,VS2,62.6,60.0,2765.0,5.62,5.65,3.53,3,5
127,0.77,Very Good,H,VS1,61.3,60.0,2765.0,5.88,5.9,3.61,4,2
128,0.63,Premium,E,VVS1,60.9,60.0,2765.0,5.52,5.55,3.37,6,5
129,0.71,Very Good,F,VS1,60.1,62.0,2765.0,5.74,5.77,3.46,4,4
130,0.71,Premium,F,VS1,61.8,59.0,2765.0,5.69,5.73,3.53,4,4
131,0.76,Ideal,H,SI1,61.2,57.0,2765.0,5.88,5.91,3.61,2,2
132,0.64,Ideal,G,VVS1,61.9,56.0,2766.0,5.53,5.56,3.43,6,3
133,0.71,Premium,G,VS2,60.9,57.0,2766.0,5.78,5.75,3.51,3,3
134,0.71,Premium,G,VS2,59.8,56.0,2766.0,5.89,5.81,3.5,3,3
135,0.7,Very Good,F,VS1,60.0,57.0,2767.0,5.8,5.87,3.5,4,4
136,0.71,Ideal,D,SI2,61.6,55.0,2767.0,5.74,5.76,3.54,1,6
137,0.7,Good,H,VVS2,62.1,64.0,2767.0,5.62,5.65,3.5,5,2
138,0.71,Very Good,G,VS1,63.3,59.0,2768.0,5.52,5.61,3.52,4,3
139,0.73,Very Good,D,SI1,60.2,56.0,2768.0,5.83,5.87,3.52,2,6
140,0.7,Ideal,E,SI1,60.9,57.0,2768.0,5.73,5.76,3.5,2,5
141,0.71,Premium,D,SI2,61.7,59.0,2768.0,5.71,5.67,3.51,1,6
142,0.74,Ideal,I,SI1,61.3,56.0,2769.0,5.82,5.86,3.57,2,1
143,0.71,Premium,D,VS2,62.5,60.0,2770.0,5.65,5.61,3.52,3,6
144,0.73,Premium,G,VS2,61.4,59.0,2770.0,5.83,5.76,3.56,3,3
145,0.76,Very Good,F,SI1,62.9,57.0,2770.0,5.79,5.81,3.65,2,4
146,0.76,Ideal,D,SI2,62.4,57.0,2770.0,5.78,5.83,3.62,1,6
147,0.71,Ideal,F,SI1,60.7,56.0,2770.0,5.77,5.8,3.51,2,4
148,0.73,Premium,G,VS2,60.7,58.0,2770.0,5.87,5.82,3.55,3,3
149,0.73,Premium,G,VS1,61.5,58.0,2770.0,5.79,5.75,3.55,4,3
150,0.73,Ideal,D,SI2,59.9,57.0,2770.0,5.92,5.89,3.54,1,6
151,0.73,Premium,G,VS2,59.2,59.0,2770.0,5.92,5.87,3.49,3,3
152,0.73,Very Good,F,SI1,61.7,60.0,2771.0,5.79,5.82,3.58,2,4
153,0.71,Ideal,G,VS2,61.9,57.0,2771.0,5.73,5.77,3.56,3,3
154,0.79,Ideal,F,SI2,61.9,55.0,2771.0,5.97,5.92,3.68,1,4
155,0.73,Very Good,H,VVS1,60.4,59.0,2772.0,5.83,5.89,3.54,6,2
156,0.8,Very Good,F,SI2,61.0,57.0,2772.0,6.01,6.03,3.67,1,4
157,0.58,Ideal,G,VVS1,61.5,55.0,2772.0,5.39,5.44,3.33,6,3
158,0.58,Ideal,F,VVS1,61.7,56.0,2772.0,5.33,5.37,3.3,6,4
159,0.71,Good,E,VS2,59.2,61.0,2772.0,5.8,5.88,3.46,3,5
160,0.75,Ideal,D,SI2,61.3,56.0,2773.0,5.85,5.89,3.6,1,6
161,0.7,Premium,D,VS2,58.0,62.0,2773.0,5.87,5.78,3.38,3,6
162,1.17,Very Good,J,I1,60.2,61.0,2774.0,6.83,6.9,4.13,0,0
163,0.6,Ideal,E,VS1,61.7,55.0,2774.0,5.41,5.44,3.35,4,5
164,0.7,Ideal,E,SI1,62.7,55.0,2774.0,5.68,5.74,3.58,2,5
165,0.83,Good,I,VS2,64.6,54.0,2774.0,5.85,5.88,3.79,3,1
166,0.74,Very Good,F,VS2,61.3,61.0,2775.0,5.8,5.84,3.57,3,4
167,0.72,Very Good,G,VS2,63.7,56.4,2776.0,5.62,5.69,3.61,3,3
168,0.71,Premium,E,VS2,62.7,58.0,2776.0,5.74,5.68,3.58,3,5
169,0.71,Ideal,E,VS2,62.2,57.0,2776.0,5.79,5.62,3.55,3,5
170,0.54,Ideal,E,VVS2,61.6,56.0,2776.0,5.25,5.27,3.24,5,5
171,0.54,Ideal,E,VVS2,61.5,57.0,2776.0,5.24,5.26,3.23,5,5
172,0.72,Ideal,G,SI1,61.8,56.0,2776.0,5.72,5.75,3.55,2,3
173,0.72,Ideal,G,SI1,60.7,56.0,2776.0,5.79,5.82,3.53,2,3
174,0.72,Good,G,VS2,59.7,60.5,2776.0,5.8,5.84,3.47,3,3
175,0.71,Ideal,G,SI1,60.5,56.0,2776.0,5.8,5.76,3.5,2,3
176,0.7,Very Good,D,VS1,62.7,58.0,2777.0,5.66,5.73,3.57,4,6
177,0.71,Premium,F,VS2,62.1,58.0,2777.0,5.67,5.7,3.53,3,4
178,0.71,Very Good,F,VS2,62.8,57.0,2777.0,5.64,5.69,3.56,3,4
179,0.71,Good,F,VS2,57.8,60.0,2777.0,5.87,5.9,3.4,3,4
180,0.7,Ideal,E,VS2,62.1,55.0,2777.0,5.7,5.67,3.53,3,5
181,0.7,Premium,E,VS2,61.1,60.0,2777.0,5.71,5.64,3.47,3,5
182,0.7,Premium,E,SI1,60.0,59.0,2777.0,5.79,5.75,3.46,2,5
183,0.7,Premium,E,SI1,61.2,57.0,2777.0,5.73,5.68,3.49,2,5
184,0.7,Premium,E,SI1,62.7,59.0,2777.0,5.67,5.63,3.54,2,5
185,0.7,Premium,E,SI1,61.0,57.0,2777.0,5.73,5.68,3.48,2,5
186,0.7,Premium,E,SI1,61.0,58.0,2777.0,5.78,5.72,3.51,2,5
187,0.7,Ideal,E,SI1,61.4,57.0,2777.0,5.76,5.7,3.52,2,5
188,0.72,Premium,F,SI1,61.8,61.0,2777.0,5.82,5.71,3.56,2,4
189,0.7,Very Good,E,SI1,59.9,63.0,2777.0,5.76,5.7,3.43,2,5
190,0.7,Premium,E,SI1,61.3,58.0,2777.0,5.71,5.68,3.49,2,5
191,0.7,Premium,E,SI1,60.5,58.0,2777.0,5.77,5.74,3.48,2,5
192,0.7,Good,E,VS2,64.1,59.0,2777.0,5.64,5.59,3.6,3,5
193,0.98,Fair,H,SI2,67.9,60.0,2777.0,6.05,5.97,4.08,1,2
194,0.78,Premium,F,SI1,62.4,58.0,2777.0,5.83,5.8,3.63,2,4
195,0.7,Very Good,E,SI1,63.2,60.0,2777.0,5.6,5.51,3.51,2,5
196,0.52,Ideal,F,VVS1,61.3,55.0,2778.0,5.19,5.22,3.19,6,4
197,0.74,Ideal,E,SI1,61.7,56.0,2779.0,5.84,5.8,3.59,2,5
198,0.7,Very Good,F,VS2,63.6,57.0,2780.0,5.61,5.65,3.58,3,4
199,0.77,Premium,G,VS2,61.2,58.0,2780.0,5.9,5.93,3.62,3,3
200,0.71,Ideal,F,VS2,62.1,54.0,2780.0,5.68,5.72,3.54,3,4
201,0.74,Ideal,G,VS1,61.5,55.0,2780.0,5.81,5.86,3.59,4,3
202,0.7,Ideal,G,VS1,61.4,59.0,2780.0,5.64,5.73,3.49,4,3
203,1.01,Premium,F,I1,61.8,60.0,2781.0,6.39,6.36,3.94,0,4
204,0.77,Ideal,H,SI1,62.2,56.0,2781.0,5.83,5.88,3.64,2,2
205,0.78,Ideal,H,SI1,61.2,56.0,2781.0,5.92,5.99,3.64,2,2
206,0.53,Very Good,D,VVS2,57.5,64.0,2782.0,5.34,5.37,3.08,5,6
207,0.76,Ideal,G,VS2,61.3,56.0,2782.0,5.9,5.94,3.63,3,3
208,0.7,Good,E,VS1,57.2,62.0,2782.0,5.81,5.77,3.31,4,5
209,0.7,Premium,E,VS1,62.9,60.0,2782.0,5.62,5.54,3.51,4,5
210,0.75,Very Good,D,SI2,63.1,58.0,2782.0,5.78,5.73,3.63,1,6
211,0.72,Ideal,D,SI1,60.8,57.0,2782.0,5.76,5.75,3.5,2,6
212,0.72,Premium,D,SI1,62.7,59.0,2782.0,5.73,5.69,3.58,2,6
213,0.7,Premium,D,SI1,62.8,60.0,2782.0,5.68,5.66,3.56,2,6
214,0.84,Fair,G,SI1,55.1,67.0,2782.0,6.39,6.2,3.47,2,3
215,0.75,Premium,F,SI1,61.4,59.0,2782.0,5.88,5.85,3.6,2,4
216,0.52,Ideal,F,IF,62.2,55.0,2783.0,5.14,5.18,3.21,7,4
217,0.72,Very Good,F,VS2,63.0,54.0,2784.0,5.69,5.73,3.6,3,4
218,0.79,Very Good,H,VS1,63.7,56.0,2784.0,5.85,5.92,3.75,4,2
219,0.72,Very Good,F,VS2,63.6,58.0,2787.0,5.66,5.69,3.61,3,4
220,0.51,Ideal,F,VVS1,62.0,57.0,2787.0,5.11,5.15,3.18,6,4
221,0.7,Very Good,H,VVS1,60.5,60.0,2788.0,5.74,5.77,3.48,6,2
222,0.83,Very Good,I,VS1,61.1,60.0,2788.0,6.07,6.1,3.72,4,1
223,0.76,Ideal,I,VVS2,61.8,56.0,2788.0,5.85,5.87,3.62,5,1
224,0.71,Good,D,VS2,63.3,56.0,2788.0,5.64,5.68,3.58,3,6
225,0.77,Good,G,VS1,59.4,64.0,2788.0,5.97,5.92,3.53,4,3
226,0.71,Ideal,F,SI1,62.5,55.0,2788.0,5.71,5.65,3.55,2,4
227,1.01,Fair,E,I1,64.5,58.0,2788.0,6.29,6.21,4.03,0,5
228,1.01,Premium,H,SI2,62.7,59.0,2788.0,6.31,6.22,3.93,1,2
229,0.77,Good,F,SI1,64.2,52.0,2789.0,5.81,5.77,3.72,2,4
230,0.76,Good,E,SI1,63.7,54.0,2789.0,5.76,5.85,3.7,2,5
231,0.76,Premium,E,SI1,60.4,58.0,2789.0,5.92,5.94,3.58,2,5
232,0.76,Premium,E,SI1,61.8,58.0,2789.0,5.82,5.86,3.61,2,5
233,1.05,Very Good,J,SI2,63.2,56.0,2789.0,6.49,6.45,4.09,1,0
234,0.81,Ideal,G,SI2,61.6,56.0,2789.0,5.97,6.01,3.69,1,3
235,0.7,Ideal,E,SI1,61.6,56.0,2789.0,5.72,5.75,3.53,2,5
236,0.55,Ideal,G,IF,60.9,57.0,2789.0,5.28,5.3,3.22,7,3
237,0.81,Good,G,SI2,61.0,61.0,2789.0,5.94,5.99,3.64,1,3
238,0.63,Premium,E,VVS2,62.1,57.0,2789.0,5.48,5.41,3.38,5,5
239,0.63,Premium,E,VVS1,60.9,60.0,2789.0,5.55,5.52,3.37,6,5
240,0.77,Premium,H,VS1,61.3,60.0,2789.0,5.9,5.88,3.61,4,2
241,1.05,Fair,J,SI2,65.8,59.0,2789.0,6.41,6.27,4.18,1,0
242,0.64,Ideal,G,IF,61.3,56.0,2790.0,5.54,5.58,3.41,7,3
243,0.76,Premium,I,VVS1,58.8,59.0,2790.0,6.0,5.94,3.51,6,1
244,0.83,Ideal,F,SI2,62.3,55.0,2790.0,6.02,6.05,3.76,1,4
245,0.71,Premium,F,VS1,60.1,62.0,2790.0,5.77,5.74,3.46,4,4
246,0.71,Premium,F,VS1,61.8,59.0,2790.0,5.73,5.69,3.53,4,4
247,0.87,Very Good,I,SI1,63.6,55.8,2791.0,6.07,6.1,3.87,2,1
248,0.73,Ideal,E,SI1,62.2,56.0,2791.0,5.74,5.78,3.58,2,5
249,0.71,Premium,E,SI1,61.8,59.0,2792.0,5.7,5.75,3.54,2,5
250,0.7,Premium,F,VS1,62.1,60.0,2792.0,5.71,5.65,3.53,4,4
251,0.7,Premium,F,VS1,60.7,60.0,2792.0,5.78,5.75,3.5,4,4
252,0.76,Premium,H,VVS2,59.6,57.0,2792.0,5.91,5.86,3.51,5,2
253,0.7,Ideal,F,VS1,62.2,56.0,2792.0,5.73,5.68,3.55,4,4
254,0.79,Very Good,G,SI1,60.6,57.0,2793.0,5.98,6.06,3.65,2,3
255,0.7,Very Good,E,VS2,62.9,57.0,2793.0,5.66,5.69,3.57,3,5
256,0.7,Good,E,VS2,64.1,55.0,2793.0,5.6,5.66,3.61,3,5
257,0.76,Ideal,I,VS2,61.3,56.0,2793.0,5.87,5.91,3.61,3,1
258,0.73,Ideal,H,VS2,62.7,55.0,2793.0,5.72,5.76,3.6,3,2
259,0.79,Very Good,E,SI1,63.2,56.0,2794.0,5.91,5.86,3.72,2,5
260,0.71,Very Good,E,VS2,60.7,56.0,2795.0,5.81,5.82,3.53,3,5
261,0.81,Premium,I,VVS2,61.9,60.0,2795.0,5.91,5.86,3.64,5,1
262,0.81,Ideal,F,SI2,62.6,55.0,2795.0,5.92,5.96,3.72,1,4
263,0.72,Good,F,VS1,60.7,60.0,2795.0,5.74,5.72,3.48,4,4
264,0.72,Premium,D,SI2,62.0,60.0,2795.0,5.73,5.69,3.54,1,6
265,0.72,Premium,I,IF,63.0,57.0,2795.0,5.72,5.7,3.6,7,1
266,0.81,Premium,H,VS2,58.0,59.0,2795.0,6.17,6.13,3.57,3,2
267,1.0,Premium,I,SI2,58.2,60.0,2795.0,6.61,6.55,3.83,1,1
268,0.81,Very Good,H,SI2,61.3,59.0,2797.0,5.94,6.01,3.66,1,2
269,0.81,Very Good,E,SI1,60.3,60.0,2797.0,6.07,6.1,3.67,2,5
270,0.71,Premium,D,SI1,62.7,60.0,2797.0,5.67,5.71,3.57,2,6
271,0.71,Premium,D,SI1,61.6,60.0,2797.0,5.74,5.69,3.52,2,6
272,0.57,Ideal,F,VVS2,61.9,55.0,2797.0,5.34,5.35,3.31,5,4
273,0.51,Ideal,D,VVS1,61.7,56.0,2797.0,5.12,5.16,3.17,6,6
274,0.72,Ideal,G,VS2,61.9,58.0,2797.0,5.72,5.75,3.55,3,3
275,0.74,Ideal,H,VS1,61.8,58.0,2797.0,5.77,5.81,3.58,4,2
276,0.74,Ideal,H,VS1,61.6,56.0,2797.0,5.81,5.82,3.58,4,2
277,0.8,Premium,F,SI2,61.0,57.0,2797.0,6.03,6.01,3.67,1,4
278,1.01,Fair,E,SI2,67.4,60.0,2797.0,6.19,6.05,4.13,1,5
279,0.8,Very Good,H,VS2,63.4,60.0,2797.0,5.92,5.82,3.72,3,2
280,0.77,Ideal,I,VS1,61.5,59.0,2798.0,5.87,5.91,3.62,4,1
281,0.83,Very Good,E,SI2,58.0,62.0,2799.0,6.19,6.25,3.61,1,5
282,0.78,Ideal,D,SI1,61.9,57.0,2799.0,5.91,5.86,3.64,2,6
283,0.6,Very Good,G,IF,61.6,56.0,2800.0,5.43,5.46,3.35,7,3
284,0.9,Good,I,SI2,62.2,59.0,2800.0,6.07,6.11,3.79,1,1
285,0.7,Premium,E,VS1,62.2,58.0,2800.0,5.6,5.66,3.5,4,5
286,0.9,Very Good,I,SI2,61.3,56.0,2800.0,6.17,6.23,3.8,1,1
287,0.83,Ideal,G,SI1,62.3,57.0,2800.0,5.99,6.08,3.76,2,3
288,0.83,Ideal,G,SI1,61.8,57.0,2800.0,6.03,6.07,3.74,2,3
289,0.83,Very Good,H,SI1,62.5,59.0,2800.0,5.95,6.02,3.74,2,2
290,0.74,Premium,G,VS1,62.9,60.0,2800.0,5.74,5.68,3.59,4,3
291,0.79,Ideal,I,VS1,61.8,59.0,2800.0,5.92,5.95,3.67,4,1
292,0.61,Ideal,G,IF,62.3,56.0,2800.0,5.43,5.45,3.39,7,3
293,0.76,Fair,G,VS1,59.0,70.0,2800.0,5.89,5.8,3.46,4,3
294,0.96,Ideal,F,I1,60.7,55.0,2801.0,6.37,6.41,3.88,0,4
295,0.73,Ideal,F,VS2,62.5,55.0,2801.0,5.8,5.76,3.61,3,4
296,0.75,Ideal,H,SI1,60.4,57.0,2801.0,5.93,5.96,3.59,2,2
297,0.71,Premium,F,VS2,62.1,58.0,2801.0,5.7,5.67,3.53,3,4
298,0.71,Good,F,VS2,57.8,60.0,2801.0,5.9,5.87,3.4,3,4
299,0.71,Good,F,VS2,63.8,58.0,2801.0,5.64,5.61,3.59,3,4
300,0.71,Premium,F,VS2,62.8,57.0,2801.0,5.69,5.64,3.56,3,4
301,1.0,Premium,J,SI2,62.3,58.0,2801.0,6.45,6.34,3.98,1,0
302,0.87,Very Good,G,SI2,59.9,58.0,2802.0,6.19,6.23,3.72,1,3
303,0.72,Premium,E,VS2,63.0,55.0,2802.0,5.79,5.61,3.59,3,5
304,0.72,Premium,F,VS1,62.4,58.0,2802.0,5.83,5.7,3.6,4,4
305,0.7,Very Good,F,VS2,62.9,58.0,2803.0,5.63,5.65,3.55,3,4
306,0.74,Very Good,E,SI1,63.5,56.0,2803.0,5.74,5.79,3.66,2,5
